
2023/11/15 (01:16:47) | ===> btop++ v.1.2.13
2023/11/15 (01:16:47) | ERROR: Stall in Runner thread, restarting!

2024/05/18 (17:06:41) | ===> btop++ v.1.3.2
2024/05/18 (17:06:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/18 (17:06:41) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/08/06 (20:34:54) | ===> btop++ v.1.3.2
2024/08/06 (20:34:54) | ERROR: Stall in Runner thread, restarting!
2024/08/06 (20:37:09) | ERROR: Runner thread died unexpectedly!

2024/08/08 (21:31:11) | ===> btop++ v.1.3.2
2024/08/08 (21:31:12) | ERROR: Stall in Runner thread, restarting!
2024/08/08 (21:31:30) | ERROR: Stall in Runner thread, restarting!
2024/08/08 (21:31:44) | ERROR: Stall in Runner thread, restarting!
2024/08/08 (21:32:15) | ERROR: Stall in Runner thread, restarting!
2024/08/08 (21:32:26) | ERROR: Stall in Runner thread, restarting!
2024/08/08 (21:35:17) | ERROR: Runner thread died unexpectedly!

2024/08/08 (22:23:13) | ===> btop++ v.1.3.2
2024/08/08 (22:23:13) | WARNING: Failed to join _runner thread on exit!
2024/08/08 (22:23:13) | ERROR: No response from Runner thread, quitting!

2024/08/20 (21:14:59) | ===> btop++ v.1.3.2
2024/08/20 (21:14:59) | ERROR: Stall in Runner thread, restarting!
